backend,mode,rps_per_traefik,component,metric,value
elk,single,0,elasticsearch,mem_ws_max_bytes,4724465664
elk,single,0,kibana,mem_ws_max_bytes,1129074688
elk,single,0,elasticsearch,mem_rss_max_bytes,4606455808
elk,single,0,kibana,mem_rss_max_bytes,1008914432
elk,single,0,backend,cpu_cores_avg,0.27513633833333306
elk,single,0,backend,mem_ws_max_bytes,5852626944
elk,single,0,traefik,rps_achieved,0
elk,single,0,fluent-bit,records_in,203244
elk,single,0,fluent-bit,records_out,1028006
elk,single,0,fluent-bit,retries,0
elk,single,0,fluent-bit,errors,0
elk,single,0,192.168.1.63:9100,disk_delta_bytes,1279520768
elk,single,0,elasticsearch,disk_write_bytes_ps,4377265.493333334
elk,single,0,kibana,disk_write_bytes_ps,0
elk,single,0,elasticsearch,disk_read_bytes_ps,636204.3733333333
elk,single,0,kibana,disk_read_bytes_ps,0
elk,single,0,backend,disk_write_bytes_ps,4377265.493333334
elk,single,0,192.168.1.63:9100,host_write_bytes_ps,4499810.986666666
elk,single,0,192.168.1.63:9100,host_read_bytes_ps,636211.2
elk,single,0,192.168.1.63:9100,host_write_iops,21.238333333333333
elk,single,0,192.168.1.63:9100,host_disk_busy,0.1747266666666667
